feature_1,feature_2,label
2.977971970019701,-2.909152808940013,1
-3.89920676076947,-4.160754610722992,0
2.357317220008093,-2.500889172011395,1
1.6788523541937503,-2.199231601982273,1
-2.8668015628919963,-2.7513754639547083,0
-2.8918344297625214,-2.1358140564349655,0
-2.714797237509554,-2.6941241115358445,0
-1.456565467017554,-1.168022074237595,0
-2.2186780207033205,-1.8910561357393196,0
-0.8394120572762283,-1.559156429153328,0
-3.518938045546876,-3.285762887194334,0
-1.7172622895475835,-1.2172388183782346,0
1.6019169038606587,-2.329943530107286,1
-1.5412081651205662,-2.520797098339866,0
-2.893641806100059,-2.503253248581502,0
2.2590605287870957,-2.6012377154225477,1
-3.933745798862473,-3.9646625454579114,0
-3.009038583801475,-3.478717178174401,0
3.1091976305567393,-2.850651934771715,1
2.763975472072676,-2.8338734505209473,1
2.8329601395586543,-2.646107874344199,1
-2.3397359313058135,-3.6256224169154274,0
3.199893566440501,-2.6870927150659365,1
-2.945831753706505,-3.3114108280100836,0
2.8114588597046195,-2.8689342999084975,1
-2.112249233983864,-1.86215140495775,0
1.7827472520650534,-2.4578011824066848,1
-4.839189409349522,-4.534583624543714,0
1.9372849031766544,-2.4744134424222657,1
3.6996538861997963,-2.8173957675760324,1
-1.4624919574145996,-1.4269628805117571,0
2.1650057321723675,-2.509080382946318,1
1.7853429533315919,-2.1855565863982997,1
2.646500211271422,-2.744492140092805,1
-1.8666213107184983,-2.1367253758297178,0
3.8716893317149816,-3.267363612462082,1
-3.1072389332759323,-3.2756661930004576,0
1.1781645075101614,-2.247893450820311,1
-1.444628335786161,-0.7767538917710579,0
2.1967619351017538,-2.567124433061216,1
1.3429425982927654,-1.8373979095253614,1
-2.723205727887283,-2.4104822409802806,0
-2.407956745459419,-2.731311132067082,0
-3.68966819638988,-3.3665804840177764,0
2.2559863852367035,-2.385884818116574,1
1.1683327528262826,-1.893624419392214,1
3.4003283468577354,-2.7927125084499025,1
0.6301352397300368,-1.8638831466671069,1
1.7908043128783275,-2.50248544889938,1
-2.879938981691397,-1.7882297724517242,0
2.468779569864509,-2.51311512246379,1
-3.2405095650708358,-2.838752499897368,0
2.692352692909762,-2.7890861850062985,1
2.102042970049685,-2.382572126779579,1
2.191324823187368,-2.432829123925008,1
3.122458057369209,-2.8495090038614657,1
1.4679293807290554,-1.944419985458774,1
2.7038067745125063,-2.069300523320356,1
-1.8292797593065497,-2.870933751939366,0
3.8382953168547225,-3.2234710568063143,1
-2.4777002392208143,-2.0591481900511543,0
2.5508149344508855,-2.5024758516133914,1
2.400245645568481,-2.6860949404156553,1
2.647410537931807,-2.3606772589622222,1
-2.8684550476136716,-1.3998423639853075,0
-2.8187093156121965,-2.0138140476758624,0
3.63600049530665,-3.250094430419145,1
-2.8178015708006163,-3.919239213965493,0
1.3441942918495782,-2.6842270431767665,1
-3.130383631549523,-3.47864883437705,0
-2.5932951353020663,-3.7281374030293106,0
-4.824639056171389,-3.8583649022630513,0
1.4438016124184168,-1.7181841497808432,1
-2.877259990561684,-3.7578820973290252,0
-3.2471364879736218,-3.4270782876908115,0
2.263221524747115,-2.23646553869387,1
3.995539871529328,-3.4032444931692676,1
3.340403450262163,-2.996729792789242,1
2.871550125990874,-2.9761116895602466,1
1.275973534002328,-2.026687535955315,1
-3.4797229660642355,-3.2314087176299786,0
2.239334314458184,-2.3967513798349183,1
2.9679099446906108,-2.844791736537465,1
0.9883978642969364,-2.078135098023411,1
2.333242285227404,-2.786767942512738,1
-3.5785376726712372,-3.8662166481381073,0
3.3641305982084275,-2.91511808960845,1
2.243539584292877,-2.458129505224635,1
2.418344314481765,-2.242283899928042,1
2.3961487573821936,-2.407484837612394,1
2.2311866226649117,-2.2262855900206002,1
-2.521881518700372,-2.191127899537177,0
2.6574378559290963,-2.4358563651811282,1
-2.923197894131162,-1.8529622139579458,0
-3.5846115654758313,-4.821629914928774,0
2.3930719669100715,-2.368289010148494,1
2.7555459232318245,-2.524520552599927,1
2.750724805525906,-2.868465673054372,1
-4.12251282185543,-4.013202340719258,0
-2.8482076973628048,-3.2578419611419194,0
2.6154637415331345,-2.5810061717117545,1
-3.5249724486936116,-4.595371115031892,0
1.9122324760988847,-2.1989512083879035,1
4.201910842320139,-3.326774065208452,1
-3.3970987546652607,-3.966923002173924,0
-1.791637130497118,-1.9193449752024214,0
2.1047011347675193,-2.26465503774211,1
-3.595801314385181,-3.939961433188168,0
3.0134340221404257,-2.8156678825623755,1
-1.7411522476442913,-1.7199556630822876,0
3.4663914656846124,-2.9278972473306726,1
3.618779013811836,-2.6247955478830995,1
-1.4706185768256343,-1.683600735076276,0
2.2237888309305975,-2.25127948896621,1
-2.5060407965934544,-1.8940599154657312,0
-4.3392856410273986,-3.405641239520318,0
-3.923114024992273,-3.494047609631228,0
-1.6698757751614677,-2.0805243112599134,0
2.414755930970758,-2.619403947159589,1
1.8539785626228786,-2.41235272376862,1
2.765517640015888,-2.994480180945993,1
-2.4471425753768563,-2.3795434591626434,0
-2.527347976662791,-3.5740963878739294,0
1.9968154372455065,-2.160708213037069,1
2.611631998992227,-2.4566514824987227,1
-2.8469533787132266,-2.725232070025807,0
-2.7650120286683006,-3.7643856399085447,0
2.5532908529824363,-2.819394643186314,1
-1.6696225157969793,-1.825363400818148,0
-2.6548910101460104,-2.292257327187137,0
-1.263105352607621,-1.7175846757702007,0
-2.5184689970587053,-1.1800531446389233,0
1.0956311977726882,-2.35005251269569,1
2.6021213158337377,-2.552267392941455,1
2.446256567403379,-2.819966071915576,1
3.3616424043233786,-2.929849717616338,1
-1.2883193084182445,-1.0585362632698294,0
-2.7247571549544167,-2.746066200709939,0
-3.655321209585315,-3.4197303746684127,0
3.3927219284509396,-2.9738620795309334,1
2.8121892236147703,-2.873550083460166,1
-3.5192669929455085,-3.282486899918583,0
-2.399828155701013,-3.181215693557113,0
3.206637811492397,-2.771721214864672,1
-1.8423281796810587,-2.4908204746630127,0
-3.202193355200942,-2.4291574797522446,0
-2.1655887929292144,-0.44168383245854326,0
3.777966128768783,-3.175022758813954,1
-2.9391568027156714,-1.7862574972047356,0
-2.4393185999372093,-2.844623477167548,0
-2.992959807514269,-3.20409295417086,0
3.699177267156884,-3.070263496742553,1
-2.100924408701955,-1.3917591146871422,0
-2.7612689908488197,-2.4436149680791788,0
2.526162482536039,-2.479198765261876,1
4.475559777431624,-3.2559763351604962,1
-1.6670969010500094,-2.093592308496506,0
4.533123478210106,-3.2076086025534494,1
2.843995035402906,-3.0847395863223483,1
2.170094487960871,-2.354123315135561,1
2.471876947054966,-2.627844757009222,1
-2.1976405521188664,-2.5562590568315438,0
2.486068735345,-2.849598134942391,1
3.682965315213681,-3.2476863621747,1
1.5833948357357102,-2.2684453817437302,1
-1.28244095674067,-1.1274816378887573,0
-1.4152038512145566,-0.48826316963736005,0
2.1487822812616035,-2.429876630839463,1
2.814237495419661,-2.3871758544545685,1
3.0770497667223173,-2.384135033049987,1
-0.21385102883821627,-1.6819215571818702,1
2.4135593405012865,-2.5856465936860387,1
-2.870677543767191,-1.8739381309956107,0
-3.041183898782908,-2.372620063737638,0
-2.502449682053587,-2.455830692839931,0
-0.8578851848377191,-1.4579711453865463,0
-3.2206970185206147,-3.817057002930854,0
-3.1602852708723823,-2.657820994808197,0
2.8168647337240933,-2.5334654337113838,1
3.5487371198522477,-2.809389524006731,1
-0.20739263323220092,-0.6758535278337168,0
3.6718481149459627,-3.2206236547734806,1
2.522941363837786,-2.5117354514400243,1
2.654245033560805,-2.3816107847577235,1
-2.9891189408041465,-3.442080512918128,0
-3.4461344317983142,-2.36733003304388,0
2.785850200885686,-2.4629265335761263,1
1.794734364230205,-2.3339483019506395,1
1.8227531068890825,-2.2465964153162226,1
-2.3629296935314166,-1.9642075938796917,0
-2.183558933637689,-2.7051163253246338,0
-1.6831972181525754,-2.2990394098328397,0
-2.993615673105376,-2.769230680283573,0
-1.8247073871908985,-2.414287426675803,0
-2.2381355604528057,-3.194499054154183,0
-2.4568083103339977,-1.9656815965362302,0
-3.1783230708007055,-3.0668171612417954,0
2.2406879087136473,-2.355588601011789,1
-1.8833096785409282,-2.371111550042708,0
-3.5228702894020056,-3.9414490761532868,0
-3.775974484921842,-3.760537948439193,0
-2.4527182569886374,-2.7109625660697803,0
1.978207660334047,-2.173385601836647,1
